,TARGET_CLASS,criterion,Size,test_suite_sample%,BRANCH_Coverage,LINE_Coverage,WEAKMUTATION_Coverage,CBRANCH_Coverage,patch_found,non_overfitting,inter_patch_found,inter_non_overfitting,non_overfit_ratio,inter_non_overfit_ratio
62,locogp.SortSelection2,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,25,14,9,0,14,20,2,576,46,0.1,0.0798611111111111
63,locogp.SortSelection2,MANUAL,7.0,100,86,91,96,86,20,20,178,178,1.0,1.0
64,locogp.SortMerge,BRANCH,3.0,100,100,97,94,17,20,11,284,92,0.55,0.323943661971831
65,locogp.SortMerge,BRANCH,2.0,75,11,6,0,11,20,20,177,177,1.0,1.0
66,locogp.SortMerge,BRANCH,1.0,50,6,3,0,6,20,11,236,102,0.55,0.4322033898305090
67,locogp.SortMerge,BRANCH,1.0,25,6,3,0,6,20,11,230,115,0.55,0.5
68,locogp.SortMerge,LINE,4.0,100,100,100,94,17,20,9,272,104,0.45,0.38235294117647100
69,locogp.SortMerge,LINE,3.0,75,83,94,88,17,20,12,361,149,0.6,0.41274238227146800
70,locogp.SortMerge,LINE,2.0,50,78,91,88,11,20,9,313,121,0.45,0.3865814696485620
71,locogp.SortMerge,LINE,1.0,25,72,85,88,6,20,10,280,100,0.5,0.35714285714285700
72,locogp.SortMerge,WEAKMUTATION,2.0,100,94,94,97,17,20,13,248,85,0.65,0.34274193548387100
73,locogp.SortMerge,WEAKMUTATION,1.0,75,94,94,96,6,20,20,108,108,1.0,1.0
74,locogp.SortMerge,WEAKMUTATION,1.0,50,94,94,96,6,20,20,135,135,1.0,1.0
75,locogp.SortMerge,WEAKMUTATION,1.0,25,94,94,96,6,20,20,166,166,1.0,1.0
76,locogp.SortMerge,CBRANCH,7.0,100,94,94,88,94,20,20,177,177,1.0,1.0
77,locogp.SortMerge,CBRANCH,5.0,75,56,61,42,56,20,11,274,78,0.55,0.2846715328467150
